Mod:Item:MetaData, Localized Name
appliedenergistics2:crystal_seed:600, Семя кварца Нижнего мира
appliedenergistics2:crystal_seed:1200, Изменчивое семя
appliedenergistics2:crystal_seed:0, Семя истинного кварца
appliedenergistics2:crystal_seed:600, Семя кварца Нижнего мира
appliedenergistics2:crystal_seed:1200, Изменчивое семя
appliedenergistics2:crystal_seed:0, Семя истинного кварца
appliedenergistics2:crystal_seed:600, Семя кварца Нижнего мира
appliedenergistics2:crystal_seed:1200, Изменчивое семя
appliedenergistics2:encoded_pattern, Кодированный шаблон
appliedenergistics2:paint_ball:0, Шар с краской - Белый
appliedenergistics2:paint_ball:1, Шар с краской - Оранжевый
appliedenergistics2:paint_ball:2, Шар с краской - Сиреневый
appliedenergistics2:paint_ball:3, Шар с краской - Светло-синий
appliedenergistics2:paint_ball:4, Шар с краской - Жёлтый
appliedenergistics2:paint_ball:5, Шар с краской - Лаймовый
appliedenergistics2:paint_ball:6, Шар с краской - Розовый
appliedenergistics2:paint_ball:7, Шар с краской - Серый
appliedenergistics2:paint_ball:8, Шар с краской - Светло-серый
appliedenergistics2:paint_ball:9, Шар с краской - Бирюзовый
appliedenergistics2:paint_ball:10, Шар с краской - Фиолетовый
appliedenergistics2:paint_ball:11, Шар с краской - Синий
appliedenergistics2:paint_ball:12, Шар с краской - Коричневый
appliedenergistics2:paint_ball:13, Шар с краской - Зелёный
appliedenergistics2:paint_ball:14, Шар с краской - Красный
appliedenergistics2:paint_ball:15, Шар с краской - Чёрный
appliedenergistics2:paint_ball:20, Шар с краской - Люмен Белый
appliedenergistics2:paint_ball:21, Шар с краской - Люмен Оранжевый
appliedenergistics2:paint_ball:22, Шар с краской - Люмен Сиреневый
appliedenergistics2:paint_ball:23, Шар с краской - Люмен Светло-синий
appliedenergistics2:paint_ball:24, Шар с краской - Люмен Жёлтый
appliedenergistics2:paint_ball:25, Шар с краской - Люмен Лаймовый
appliedenergistics2:paint_ball:26, Шар с краской - Люмен Розовый
appliedenergistics2:paint_ball:27, Шар с краской - Люмен Серый
appliedenergistics2:paint_ball:28, Шар с краской - Люмен Светло-серый
appliedenergistics2:paint_ball:29, Шар с краской - Люмен Бирюзовый
appliedenergistics2:paint_ball:30, Шар с краской - Люмен Фиолетовый
appliedenergistics2:paint_ball:31, Шар с краской - Люмен Синий
appliedenergistics2:paint_ball:32, Шар с краской - Люмен Коричневый
appliedenergistics2:paint_ball:33, Шар с краской - Люмен Зелёный
appliedenergistics2:paint_ball:34, Шар с краской - Люмен Красный
appliedenergistics2:paint_ball:35, Шар с краской - Люмен Чёрный
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Продвинутая карта
appliedenergistics2:material:44, Ядро истребления
appliedenergistics2:material:25, Базовая карта
appliedenergistics2:material:52, Пустой шаблон
appliedenergistics2:material:23, Вычислительный процессор
appliedenergistics2:material:13, Вычислительный пресс для высекателя
appliedenergistics2:material:16, Отпечатанный вычислительный контур
appliedenergistics2:material:27, Карта ёмкости
appliedenergistics2:material:53, Карта крафта
appliedenergistics2:material:29, Карта нечёткости
appliedenergistics2:material:31, Карта инвертирования
appliedenergistics2:material:26, Карта красного камня
appliedenergistics2:material:30, Карта ускорения
appliedenergistics2:material:34, 128³ пространственный компонент
appliedenergistics2:material:37, 16К МЭ компонент хранения
appliedenergistics2:material:33, 16³ пространственный компонент
appliedenergistics2:material:35, 1К МЭ компонент хранения
appliedenergistics2:material:32, 2³ пространственный компонент
appliedenergistics2:material:36, 4К МЭ компонент хранения
appliedenergistics2:material:38, 64К МЭ компонент хранения
appliedenergistics2:material:0, Кристалл истинного кварца
appliedenergistics2:material:1, Заряженный кристалл истинного кварца
appliedenergistics2:material:2, Пыль истинного кварца
appliedenergistics2:material:39, МЭ корпус ячейки хранения
appliedenergistics2:material:46, Пыль Края
appliedenergistics2:material:24, Инженерный процессор
appliedenergistics2:material:14, Инженерный пресс для высекателя
appliedenergistics2:material:17, Отпечатанный инженерный контур
appliedenergistics2:material:4, Мука
appliedenergistics2:material:56, 16k ME Fluid Storage Component
appliedenergistics2:material:54, 1k ME Fluid Storage Component
appliedenergistics2:material:55, 4k ME Fluid Storage Component
appliedenergistics2:material:57, 64k ME Fluid Storage Component
appliedenergistics2:material:7, Изменчивый кристалл
appliedenergistics2:material:8, Изменчивая пыль
appliedenergistics2:material:9, Изменчивая жемчужина
appliedenergistics2:material:43, Ядро формирования
appliedenergistics2:material:51, Золотая пыль
appliedenergistics2:material:49, Железная пыль
appliedenergistics2:material:22, Логический процессор
appliedenergistics2:material:15, Логический пресс для высекателя
appliedenergistics2:material:18, Отпечатанный логический контур
appliedenergistics2:material:6, Шарик материи
appliedenergistics2:material:21, Именующий пресс для высекателя
appliedenergistics2:material:3, Пыль кварца Нижнего мира
appliedenergistics2:material:10, Чистый кристалл истинного кварца
appliedenergistics2:material:12, Чистый изменчивый кристалл
appliedenergistics2:material:11, Чистый кристалл кварца Нижнего мира
appliedenergistics2:material:48, Квантовая запутанная сингулярность
appliedenergistics2:material:5, Кремний
appliedenergistics2:material:19, Кремниевый пресс для высекателя
appliedenergistics2:material:20, Отпечатанный кремний
appliedenergistics2:material:47, Сингулярность
appliedenergistics2:material:45, Пыль небесного камня
appliedenergistics2:material:41, Беспроводной приёмник
appliedenergistics2:material:42, Беспроводной усилитель
appliedenergistics2:material:40, Деревянная шестерня
appliedenergistics2:part:300, МЭ плоскость истребления
appliedenergistics2:part:120, Кабельный якорь
appliedenergistics2:part:20, МЭ закрытый кабель - Белый
appliedenergistics2:part:21, МЭ закрытый кабель - Оранжевый
appliedenergistics2:part:22, МЭ закрытый кабель - Сиреневый
appliedenergistics2:part:23, МЭ закрытый кабель - Светло-синий
appliedenergistics2:part:24, МЭ закрытый кабель - Жёлтый
appliedenergistics2:part:25, МЭ закрытый кабель - Лаймовый
appliedenergistics2:part:26, МЭ закрытый кабель - Розовый
appliedenergistics2:part:27, МЭ закрытый кабель - Серый
appliedenergistics2:part:28, МЭ закрытый кабель - Светло-серый
appliedenergistics2:part:29, МЭ закрытый кабель - Бирюзовый
appliedenergistics2:part:30, МЭ закрытый кабель - Фиолетовый
appliedenergistics2:part:31, МЭ закрытый кабель - Синий
appliedenergistics2:part:32, МЭ закрытый кабель - Коричневый
appliedenergistics2:part:33, МЭ закрытый кабель - Зелёный
appliedenergistics2:part:34, МЭ закрытый кабель - Красный
appliedenergistics2:part:35, МЭ закрытый кабель - Чёрный
appliedenergistics2:part:36, МЭ закрытый кабель - Изменчивый
appliedenergistics2:part:500, МЭ плотный закрытый кабель - Белый
appliedenergistics2:part:501, МЭ плотный закрытый кабель - Оранжевый
appliedenergistics2:part:502, МЭ плотный закрытый кабель - Сиреневый
appliedenergistics2:part:503, МЭ плотный закрытый кабель - Светло-синий
appliedenergistics2:part:504, МЭ плотный закрытый кабель - Жёлтый
appliedenergistics2:part:505, МЭ плотный закрытый кабель - Лаймовый
appliedenergistics2:part:506, МЭ плотный закрытый кабель - Розовый
appliedenergistics2:part:507, МЭ плотный закрытый кабель - Серый
appliedenergistics2:part:508, МЭ плотный закрытый кабель - Светло-серый
appliedenergistics2:part:509, МЭ плотный закрытый кабель - Бирюзовый
appliedenergistics2:part:510, МЭ плотный закрытый кабель - Фиолетовый
appliedenergistics2:part:511, МЭ плотный закрытый кабель - Синий
appliedenergistics2:part:512, МЭ плотный закрытый кабель - Коричневый
appliedenergistics2:part:513, МЭ плотный закрытый кабель - Зелёный
appliedenergistics2:part:514, МЭ плотный закрытый кабель - Красный
appliedenergistics2:part:515, МЭ плотный закрытый кабель - Чёрный
appliedenergistics2:part:516, МЭ плотный закрытый кабель - Изменчивый
appliedenergistics2:part:60, МЭ плотный умный кабель - Белый
appliedenergistics2:part:61, МЭ плотный умный кабель - Оранжевый
appliedenergistics2:part:62, МЭ плотный умный кабель - Сиреневый
appliedenergistics2:part:63, МЭ плотный умный кабель - Светло-синий
appliedenergistics2:part:64, МЭ плотный умный кабель - Жёлтый
appliedenergistics2:part:65, МЭ плотный умный кабель - Лаймовый
appliedenergistics2:part:66, МЭ плотный умный кабель - Розовый
appliedenergistics2:part:67, МЭ плотный умный кабель - Серый
appliedenergistics2:part:68, МЭ плотный умный кабель - Светло-серый
appliedenergistics2:part:69, МЭ плотный умный кабель - Бирюзовый
appliedenergistics2:part:70, МЭ плотный умный кабель - Фиолетовый
appliedenergistics2:part:71, МЭ плотный умный кабель - Синий
appliedenergistics2:part:72, МЭ плотный умный кабель - Коричневый
appliedenergistics2:part:73, МЭ плотный умный кабель - Зелёный
appliedenergistics2:part:74, МЭ плотный умный кабель - Красный
appliedenergistics2:part:75, МЭ плотный умный кабель - Чёрный
appliedenergistics2:part:76, МЭ плотный умный кабель - Изменчивый
appliedenergistics2:part:0, МЭ стеклянный кабель - Белый
appliedenergistics2:part:1, МЭ стеклянный кабель - Оранжевый
appliedenergistics2:part:2, МЭ стеклянный кабель - Сиреневый
appliedenergistics2:part:3, МЭ стеклянный кабель - Светло-синий
appliedenergistics2:part:4, МЭ стеклянный кабель - Жёлтый
appliedenergistics2:part:5, МЭ стеклянный кабель - Лаймовый
appliedenergistics2:part:6, МЭ стеклянный кабель - Розовый
appliedenergistics2:part:7, МЭ стеклянный кабель - Серый
appliedenergistics2:part:8, МЭ стеклянный кабель - Светло-серый
appliedenergistics2:part:9, МЭ стеклянный кабель - Бирюзовый
appliedenergistics2:part:10, МЭ стеклянный кабель - Фиолетовый
appliedenergistics2:part:11, МЭ стеклянный кабель - Синий
appliedenergistics2:part:12, МЭ стеклянный кабель - Коричневый
appliedenergistics2:part:13, МЭ стеклянный кабель - Зелёный
appliedenergistics2:part:14, МЭ стеклянный кабель - Красный
appliedenergistics2:part:15, МЭ стеклянный кабель - Чёрный
appliedenergistics2:part:16, МЭ стеклянный кабель - Изменчивый
appliedenergistics2:part:40, МЭ умный кабель - Белый
appliedenergistics2:part:41, МЭ умный кабель - Оранжевый
appliedenergistics2:part:42, МЭ умный кабель - Сиреневый
appliedenergistics2:part:43, МЭ умный кабель - Светло-синий
appliedenergistics2:part:44, МЭ умный кабель - Жёлтый
appliedenergistics2:part:45, МЭ умный кабель - Лаймовый
appliedenergistics2:part:46, МЭ умный кабель - Розовый
appliedenergistics2:part:47, МЭ умный кабель - Серый
appliedenergistics2:part:48, МЭ умный кабель - Светло-серый
appliedenergistics2:part:49, МЭ умный кабель - Бирюзовый
appliedenergistics2:part:50, МЭ умный кабель - Фиолетовый
appliedenergistics2:part:51, МЭ умный кабель - Синий
appliedenergistics2:part:52, МЭ умный кабель - Коричневый
appliedenergistics2:part:53, МЭ умный кабель - Зелёный
appliedenergistics2:part:54, МЭ умный кабель - Красный
appliedenergistics2:part:55, МЭ умный кабель - Чёрный
appliedenergistics2:part:56, МЭ умный кабель - Изменчивый
appliedenergistics2:part:420, МЭ монитор преобразования
appliedenergistics2:part:360, МЭ терминал крафта
appliedenergistics2:part:200, Тёмная осветительная панель
appliedenergistics2:part:260, МЭ шина экспорта
appliedenergistics2:part:302, ME Fluid Annihilation Plane
appliedenergistics2:part:261, ME Fluid Export Bus
appliedenergistics2:part:321, ME Fluid Formation Plane
appliedenergistics2:part:241, ME Fluid Import Bus
appliedenergistics2:part:441, ME Fluid Interface
appliedenergistics2:part:281, ME Fluid Level Emitter
appliedenergistics2:part:221, ME Fluid Storage Bus
appliedenergistics2:part:520, ME Fluid Terminal
appliedenergistics2:part:320, МЭ плоскость формирования
appliedenergistics2:part:301, МЭ id плоскость истребления
appliedenergistics2:part:240, МЭ шина импорта
appliedenergistics2:part:440, МЭ интерфейс
appliedenergistics2:part:480, МЭ терминал интерфейсов
appliedenergistics2:part:100, МЭ инвертированная шина переключения
appliedenergistics2:part:280, МЭ излучатель уровня
appliedenergistics2:part:160, Яркая осветительная панель
appliedenergistics2:part:469, Туннель точка-точка - FE
appliedenergistics2:part:463, Туннель точка-точка - Жидкость
appliedenergistics2:part:465, Туннель точка-точка - EU
appliedenergistics2:part:462, Туннель точка-точка - Предмет
appliedenergistics2:part:467, Туннель точка-точка - Свет
appliedenergistics2:part:460, Туннель точка-точка - МЭ
appliedenergistics2:part:461, Туннель точка-точка - Красный камень
appliedenergistics2:part:340, МЭ терминал шаблонов
appliedenergistics2:part:140, Кварцевое оптическое волокно
appliedenergistics2:part:180, Осветительная панель
appliedenergistics2:part:220, МЭ шина хранения
appliedenergistics2:part:400, МЭ монитор хранения
appliedenergistics2:part:380, МЭ терминал
appliedenergistics2:part:80, МЭ шина переключения
aether:aether_grass:0, Высокогорная трава
aether:aether_grass:1, Зачарованная трава
aether:aether_grass:2, Арктическая трава
aether:aether_grass:3, Магнетическая трава
aether:aether_grass:4, Облучённая трава
aether:aether_dirt:0, Эфирная земля
aether:aether_dirt:1, Грубая эфирная земля
aether:quicksoil, Быстрая почва
aether:highlands_snow, Снег высокогорья
aether:highlands_snow_layer, Снег высокогорья
aether:highlands_ice, Лёд высокогорья
aether:highlands_packed_ice, Упакованный лёд высокогорья
aether:ferrosite_sand, Ферросайтовый песок
aether:holystone:0, Святой камень
aether:holystone:1, Болотный святой камень
aether:holystone:3, Irradiated Holystone
aether:ambrosium_ore, Амброзиумная руда
aether:icestone_ore, Руда из ледяного камня
aether:zanite_ore, Занитная руда
aether:arkenium_ore, Аркениумная руда
aether:gravitite_ore, Гравититная руда
aether:holystone_quartz_ore, Holystone Quartz Ore
aether:ferrosite, Ферросайт
aether:rusted_ferrosite, Ржавый ферросайт
aether:irradiated_dust_block, Irradiated Dust Block
aether:crude_scatterglass, Сырое развеянного стекло
aether:aercloud:2, Зелёное эфирное облако
aether:aercloud:4, Грозовое эфирное облако
aether:aercloud:1, Синее эфирное облако
aether:aercloud:3, Золотое эфирное облако
aether:aercloud:5, Фиолетовое эфирное облако
aether:aercloud:0, Холодное эфирное облако
aether:skyroot_log, Древесина из небесного корня
aether:light_skyroot_log, Древесина из мерцающего корня
aether:dark_skyroot_log, Древесина из великого корня
aether:skyroot_log_wall, Стена из древесины небесного корня
aether:wisproot_log_wall, Стена из древесины мерцающего корня
aether:greatroot_log_wall, Стена из древесины великого корня
aether:golden_oak_log, Древесина из янтарного корня
aether:woven_sticks:0, Тканные палки из небесного корня
aether:highlands_bush, Куст высокогорья
aether:green_skyroot_leaves, Зелёные листья из небесного корня
aether:blue_skyroot_leaves, Синие листья из небесного корня
aether:dark_blue_skyroot_leaves, Тёмно-синие листья из небесного корня
aether:green_light_skyroot_leaves, Зелёные листья из мерцающего корня
aether:blue_light_skyroot_leaves, Синие листья из мерцающего корня
aether:dark_blue_light_skyroot_leaves, Тёмно-синие листья из мерцающего корня
aether:green_dark_skyroot_leaves, Зелёные листья из великого корня
aether:blue_dark_skyroot_leaves, Синие листья из великого корня
aether:dark_blue_dark_skyroot_leaves, Тёмно-синие листья из великого корня
aether:amberoot_leaves, Листья из янтарного корня
aether:mutant_leaves, Мутировавшие листья 
aether:mutant_leaves_decorated, Украшенные мутировавшие листья
aether:skyroot_sapling:1, Синий саженец из небесного корня
aether:skyroot_sapling:2, Тёмно-синий саженец из небесного корня
aether:skyroot_sapling:0, Зелёный саженец из небесного корня
aether:wisproot_sapling:0, Зелёный саженец из мерцающего корня
aether:wisproot_sapling:1, Синий саженец из мерцающего корня
aether:wisproot_sapling:2, Тёмно-синий саженец из мерцающего корня
aether:greatroot_sapling:1, Синий саженец из великого корня
aether:greatroot_sapling:0, Зелёный саженец из великого корня
aether:greatroot_sapling:2, Тёмно-синий саженец из великого корня
aether:unique_sapling:1, Саженец дерева сумасшедшего мутанта Эдисона
aether:unique_sapling:0, Саженец из янтарного корня
aether:aether_flower:2, Лопнувший цветок
aether:aether_flower:1, Фиолетовый цветок
aether:aether_flower:0, Белая роза
aether:aether_flower:3, Эчор росток
aether:quickshoot, Быстрый выстрел
aether:pink_swingtip, Розовый поворотный кончик
aether:green_swingtip, Зелёный поворотный кончик
aether:blue_swingtip, Синий поворотный кончик
aether:neverbloom, Всегдацветок
aether:highlands_tulips, Тюльпаны высокогорья
aether:arctic_spikespring, Арктический весенний шип
aether:irradiated_flower, Облучённый цветок
aether:forgotten_rose, Забытая роза
aether:tall_aether_grass:1, Трава от высокогорья
aether:tall_aether_grass:0, Короткая трава от высокогорья
aether:tall_aether_grass:2, Длинная трава от высокогорья
aether:stoneshroom, Каменный гриб
aether:barkshroom, Гриб коры
aether:magnetic_shroom, Магнетический гриб
aether:plumproot, Толстый корень
aether:blueberry_bush:0, Стебель из черничного куста
aether:blueberry_bush:1, Черничный куст
aether:orange_tree, Апельсиновое дерево
aether:valkyrie_grass:0, Травяной росток валькирии
aether:valkyrie_grass:2, Трава валькирии
aether:skyroot_twigs, Ветка небесного корня
aether:holystone_rock, Камешек святого камня
aether:highlands_ice_crystal:0, Ледяной кристалл
aether:skyroot_planks, Доски из небесного корня
aether:light_skyroot_planks, Доски из мерцающего корня
aether:dark_skyroot_planks, Доски из великого корня
aether:skyroot_fence, Забор из небесного корня
aether:wisproot_fence, Забор из мерцающего корня
aether:greatroot_fence, Забор из великого корня
aether:skyroot_fence_gate, Ворота из небесного корня
aether:wisproot_fence_gate, Ворота из мерцающего корня
aether:greatroot_fence_gate, Ворота из великого корня
aether:holystone_brick, Кирпичи из святого камня
aether:agiosite, Агиосайт
aether:agiosite_brick, Агиосайтовые кирпичи
aether:icestone_bricks, Кирпичи из ледяного камня
aether:cloudwool_block, Облачная шерсть
aether:cloudwool_carpet, Ковёр из облачной шерсти
aether:skyroot_bookshelf, Книжная полка из небесного корня
aether:holystone_bookshelf, Книжная полка из святого камня
aether:crude_scatterglass_pane, Сырая панель из развеянного стекла
aether:quicksoil_glass, Травяная быстрая почва
aether:quicksoil_glass_pane, Стеклянная панель из быстрой почвой
aether:scatterglass, Развеянное стекло
aether:scatterglass_pane, Панель из развеянного стекла
aether:zanite_block, Блок занита
aether:gravitite_block, Блок гравитита
aether:skyroot_ladder, Лестница из небесного корня
aether:skyroot_trapdoor, Люк из небесного корня
aether:skyroot_button, Кнопка из небесного корня
aether:wisproot_button, Кнопка из мерцающего корня
aether:greatroot_button, Кнопка из великого корня
aether:holystone_button, Кнопка из святого камня
aether:skyroot_pressure_plate, Нажимная пластина из небесного корня
aether:wisproot_pressure_plate, Нажимная пластина из мерцающего корня
aether:greatroot_pressure_plate, Нажимная пластина из великого корня
aether:holystone_pressure_plate, Нажимная пластина из святого камня
aether:sentrystone_brick, Кирпичи из патрульного камня
aether:hellfirestone_brick, Кирпичи из камня адского пламени
aether:ambrosium_torch, Факел из амброзия
aether:candy_cane_block, Карамель
aether:holystone_stairs, Ступени из святого камня
aether:mossy_holystone_stairs, Ступени из болотного святого камня
aether:skyroot_stairs, Ступени из небесного корня
aether:wisproot_stairs, Ступени из мерцающего корня
aether:greatroot_stairs, Ступени из великого корня
aether:holystone_brick_stairs, Кирпичные ступени из святого камня
aether:agiosite_stairs, Агиосайтовые ступени
aether:agiosite_brick_stairs, Агиосайтовые кирпичные ступени
aether:icestone_brick_stairs, Кирпичные ступени из ледяного камня
aether:scatterglass_stairs, Ступени из развеянного стекла
aether:sentrystone_brick_stairs, Кирпичные ступени из патрульного камня
aether:hellfirestone_brick_stairs, Кирпичные ступени из камня адского пламени
aether:holystone_slab, Плита из святого камня
aether:mossy_holystone_slab, Плита из болотного святого камня
aether:skyroot_slab, Плита из небесного корня
aether:wisproot_slab, Плита из мерцающего корня
aether:greatroot_slab, Плита из великого корня
aether:holystone_brick_slab, Кирпичная плита из святого камня
aether:agiosite_slab, Агиосайтовая плита
aether:agiosite_brick_slab, Агиосайтовая кирпичная плита
aether:icestone_slab, Кирпичная плита из ледяного камня
aether:scatterglass_slab, Плита из развеянного стекла
aether:sentrystone_brick_slab, Кирпичная плита из патрульного камня
aether:hellfirestone_brick_slab, Кирпичная плита из камня адского пламени
aether:holystone_wall, Стена из святого камня
aether:mossy_holystone_wall, Стена из болотного святого камня
aether:holystone_brick_wall, Кирпичная стена из святого камня
aether:agiosite_wall, Стена из агиосайта
aether:agiosite_brick_wall, Кирпичная стена из агиосайта
aether:icestone_wall, Кирпичная стена из ледяного камня
aether:scatterglass_wall, Стена из развеянного стекла
aether:sentrystone_brick_wall, Кирпичная стена из патрульного камня
aether:hellfirestone_brick_wall, Кирпичная стена из камня адского пламени
aether:candy_cane_wall, Карамельная стена
aether:skyroot_decorative:5, Украшенные доски из небесного корня
aether:skyroot_decorative:6, Украшенные доски из небесного корня
aether:skyroot_decorative:3, Украшенные доски из небесного корня
aether:skyroot_decorative:7, Украшенные доски из небесного корня
aether:skyroot_decorative:0, Украшенные доски из небесного корня
aether:skyroot_decorative:4, Украшенные доски из небесного корня
aether:skyroot_decorative:1, Украшенные доски из небесного корня
aether:skyroot_decorative:2, Украшенные доски из небесного корня
aether:skyroot_beam, Балка из небесного корня
aether:light_skyroot_decorative:5, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:6, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:3, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:7, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:0, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:4, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:1, Украшенные доски из мерцающего корня
aether:light_skyroot_decorative:2, Украшенные доски из мерцающего корня
aether:light_skyroot_beam, Балка из мерцающего корня
aether:dark_skyroot_decorative:5, Украшенные доски из великого корня
aether:dark_skyroot_decorative:6, Украшенные доски из великого корня
aether:dark_skyroot_decorative:3, Украшенные доски из великого корня
aether:dark_skyroot_decorative:7, Украшенные доски из великого корня
aether:dark_skyroot_decorative:0, Украшенные доски из великого корня
aether:dark_skyroot_decorative:4, Украшенные доски из великого корня
aether:dark_skyroot_decorative:1, Украшенные доски из великого корня
aether:dark_skyroot_decorative:2, Украшенные доски из великого корня
aether:dark_skyroot_beam, Балка из великого корня
aether:holystone_brick_decorative:3, Украшенные кирпичи из святого камня
aether:holystone_brick_decorative:2, Украшенные кирпичи из святого камня
aether:holystone_brick_decorative:4, Украшенные кирпичи из святого камня
aether:holystone_brick_decorative:1, Украшенные кирпичи из святого камня
aether:holystone_brick_decorative:0, Украшенные кирпичи из святого камня
aether:holystone_brick_decorative:5, Украшенные кирпичи из святого камня
aether:holystone_brick_decorative:6, Украшенные кирпичи из святого камня
aether:holystone_pillar, Кирпичная колонна из святого камня
aether:faded_holystone_brick, Кирпичи из увядшего святого камня
aether:faded_holystone_brick_stairs, Кирпичные ступени из увядшего святого камня
aether:faded_holystone_brick_slab, Кирпичная плита из увядшего святого камня
aether:faded_holystone_brick_wall, Кирпичная стена из увядшего святого камня
aether:faded_holystone_brick_decorative:3, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_brick_decorative:2, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_brick_decorative:4, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_brick_decorative:1, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_brick_decorative:0, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_brick_decorative:5, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_brick_decorative:6, Украшенные кирпичи из увядшего святого камня
aether:faded_holystone_pillar, Кирпичная колонна из увядшего святого камня
aether:agiosite_brick_decorative:3, Украшенные агиосайтовые кирпичи
aether:agiosite_brick_decorative:2, Украшенные агиосайтовые кирпичи
aether:agiosite_brick_decorative:4, Украшенные агиосайтовые кирпичи
aether:agiosite_brick_decorative:1, Украшенные агиосайтовые кирпичи
aether:agiosite_brick_decorative:0, Украшенные агиосайтовые кирпичи
aether:agiosite_brick_decorative:5, Украшенные агиосайтовые кирпичи
aether:agiosite_pillar, Агиосайтовая кирпичная колонна
aether:icestone_bricks_decorative:3, Украшенные кирпичи из ледяного камня
aether:icestone_bricks_decorative:2, Украшенные кирпичи из ледяного камня
aether:icestone_bricks_decorative:4, Украшенные кирпичи из ледяного камня
aether:icestone_bricks_decorative:1, Украшенные кирпичи из ледяного камня
aether:icestone_bricks_decorative:0, Украшенные кирпичи из ледяного камня
aether:icestone_bricks_decorative:5, Украшенные кирпичи из ледяного камня
aether:icestone_pillar, Кирпичная колонна из ледяного камня
aether:crude_scatterglass_decorative:1, Украшенное сырое развеянного стекло
aether:crude_scatterglass_decorative:0, Украшенное сырое развеянного стекло
aether:crude_scatterglass_pane_decorative:1, Украшенная сырая панель из развеянного стекла
aether:crude_scatterglass_pane_decorative:0, Украшенная сырая панель из развеянного стекла
aether:quicksoil_glass_decorative:1, Украшенная травяная быстрая почва
aether:quicksoil_glass_decorative:0, Украшенная травяная быстрая почва
aether:quicksoil_glass_pane_decorative:1, Украшенная стеклянная панель из быстрой почвой
aether:quicksoil_glass_pane_decorative:0, Украшенная стеклянная панель из быстрой почвой
aether:scatterglass_decorative:1, Украшенное развеянного стекло
aether:scatterglass_decorative:0, Украшенное развеянного стекло
aether:scatterglass_pane_decorative:1, Украшенная панель из развеянного стекла
aether:scatterglass_pane_decorative:0, Украшенная панель из развеянного стекла
aether:sentrystone_brick_decorative:3, Украшенные кирпичи из патрульного камня
aether:sentrystone_brick_decorative:2, Украшенные кирпичи из патрульного камня
aether:sentrystone_brick_decorative:4, Украшенные кирпичи из патрульного камня
aether:sentrystone_brick_decorative:5, Украшенные кирпичи из патрульного камня
aether:sentrystone_brick_decorative:1, Украшенные кирпичи из патрульного камня
aether:sentrystone_brick_decorative:0, Украшенные кирпичи из патрульного камня
aether:sentrystone_brick_decorative:6, Украшенные кирпичи из патрульного камня
aether:sentrystone_pillar, Кирпичная колонна из патрульного камня
aether:sentrystone_brick_decorative_lit:3, Украшенные зажжённые кирпичи из патрульного камня
aether:sentrystone_brick_decorative_lit:2, Украшенные зажжённые кирпичи из патрульного камня
aether:sentrystone_brick_decorative_lit:4, Украшенные зажжённые кирпичи из патрульного камня
aether:sentrystone_brick_decorative_lit:1, Украшенные зажжённые кирпичи из патрульного камня
aether:sentrystone_brick_decorative_lit:0, Украшенные зажжённые кирпичи из патрульного камня
aether:sentrystone_brick_decorative_lit:5, Украшенные зажжённые кирпичи из патрульного камня
aether:sentrystone_pillar_lit, Зажжённая кирпичная колонна из патрульного камня
aether:hellfirestone_brick_decorative:3, Украшенные кирпичи из камня адского пламени
aether:hellfirestone_brick_decorative:2, Украшенные кирпичи из камня адского пламени
aether:hellfirestone_brick_decorative:4, Украшенные кирпичи из камня адского пламени
aether:hellfirestone_brick_decorative:1, Украшенные кирпичи из камня адского пламени
aether:hellfirestone_brick_decorative:0, Украшенные кирпичи из камня адского пламени
aether:hellfirestone_brick_decorative:5, Украшенные кирпичи из камня адского пламени
aether:hellfirestone_lantern, Фонарь из камня адского пламени
aether:hellfirestone_pillar, Кирпичная колонна из камня адского пламени
aether:secret_skyroot_trapdoor, Тайный люк из небесного корня
aether:aether_crafting_table, Верстак из небесного корня
aether:skyroot_chest, Сундук из небесного корня
aether:holystone_furnace, Печь из святого камня
aether:altar, Алтарь
aether:incubator, Инкубатор
aether:icestone_cooler, Холодильник из ледяного камня
aether:masonry_bench, Верстак каменщика
aether:aether_teleporter, Портал в Эфир
aether:outpost_campfire, Костёр аванпоста
aether:thera_grass:0, Тера трава
aether:thera_dirt:0, Тера земля
aether:therawood_log, Бревно из тера древесины
aether:therawood_log_wall, Стена из древесины тера дерева
aether:therawood_leaves, Листья из тера древесины
aether:therawood_planks, Доски из тера древесины
aether:therawood_fence, Забор из тера дерева
aether:therawood_fence_gate, Ворота из тера дерева
aether:therawood_decorative:5, Украшенная тера древесина
aether:therawood_decorative:3, Украшенная тера древесина
aether:therawood_decorative:0, Украшенная тера древесина
aether:therawood_decorative:4, Украшенная тера древесина
